place_1_id,place_2_id,count,place_1_name,place_1_long,place_1_lat,place_2_name,place_2_long,place_2_lat,topic
36540,47900,7,"Omaha-Council Bluffs, NE-IA",-95.97761971830987,41.24216901408451,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.09836875,38.91626041666667,executive
38860,47900,9,"Portland-South Portland, ME",-70.28717777777777,43.63619259259259,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.09836875,38.91626041666667,executive
39580,47900,6,"Raleigh, NC",-78.65281052631579,35.7816,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.09836875,38.91626041666667,executive
41620,47900,6,"Salt Lake City, UT",-111.89808843537415,40.74924489795919,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.09836875,38.91626041666667,executive
47900,38860,9,"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.09836875,38.91626041666667,"Portland-South Portland, ME",-70.28717777777777,43.63619259259259,executive
10900,14860,4,"Allentown-Bethlehem-Easton, PA-NJ",-75.38478461538462,40.650984615384615,"Bridgeport-Stamford-Norwalk, CT",-73.40778740157481,41.162488188976376,guns
14500,10900,4,"Boulder, CO",-105.23398666666667,40.03181333333333,"Allentown-Bethlehem-Easton, PA-NJ",-75.38478461538462,40.650984615384615,guns
14860,10900,4,"Bridgeport-Stamford-Norwalk, CT",-73.40778740157481,41.162488188976376,"Allentown-Bethlehem-Easton, PA-NJ",-75.38478461538462,40.650984615384615,guns
15980,35840,4,"Cape Coral-Fort Myers, FL",-81.89525,26.59627777777778,"North Port-Sarasota-Bradenton, FL",-82.5337638888889,27.375708333333332,guns
16700,35840,3,"Charleston-North Charleston, SC",-79.95877272727273,32.83789393939394,"North Port-Sarasota-Bradenton, FL",-82.5337638888889,27.375708333333332,guns
19380,33100,5,"Dayton, OH",-84.1462,39.767466666666664,"Miami-Fort Lauderdale-West Palm Beach, FL",-80.1827125748503,26.16508982035928,guns
30460,19380,3,"Lexington-Fayette, KY",-84.50633333333333,38.03823333333333,"Dayton, OH",-84.1462,39.767466666666664,guns
33100,41420,6,"Miami-Fort Lauderdale-West Palm Beach, FL",-80.1827125748503,26.16508982035928,"Salem, OR",-123.02666666666667,44.943333333333335,guns
33100,19380,5,"Miami-Fort Lauderdale-West Palm Beach, FL",-80.1827125748503,26.16508982035928,"Dayton, OH",-84.1462,39.767466666666664,guns
33100,40060,5,"Miami-Fort Lauderdale-West Palm Beach, FL",-80.1827125748503,26.16508982035928,"Richmond, VA",-77.44654471544716,37.541739837398374,guns
35840,15980,4,"North Port-Sarasota-Bradenton, FL",-82.5337638888889,27.375708333333332,"Cape Coral-Fort Myers, FL",-81.89525,26.59627777777778,guns
36540,33100,4,"Omaha-Council Bluffs, NE-IA",-95.97761971830987,41.24216901408451,"Miami-Fort Lauderdale-West Palm Beach, FL",-80.1827125748503,26.16508982035928,guns
39900,14860,4,"Reno, NV",-119.80667307692308,39.520096153846154,"Bridgeport-Stamford-Norwalk, CT",-73.40778740157481,41.162488188976376,guns
40060,33100,5,"Richmond, VA",-77.44654471544716,37.541739837398374,"Miami-Fort Lauderdale-West Palm Beach, FL",-80.1827125748503,26.16508982035928,guns
41420,33100,6,"Salem, OR",-123.02666666666667,44.943333333333335,"Miami-Fort Lauderdale-West Palm Beach, FL",-80.1827125748503,26.16508982035928,guns
42220,15980,4,"Santa Rosa, CA",-122.68827272727273,38.36775757575757,"Cape Coral-Fort Myers, FL",-81.89525,26.59627777777778,guns
14260,41620,2,"Boise City, ID",-116.26655223880597,43.61892537313433,"Salt Lake City, UT",-111.89808843537415,40.74924489795919,healthcare
19380,31140,3,"Dayton, OH",-84.1462,39.767466666666664,"Louisville/Jefferson County, KY-IN",-85.73740833333333,38.25403333333333,healthcare
23060,41620,4,"Fort Wayne, IN",-85.13191891891891,41.07735135135135,"Salt Lake City, UT",-111.89808843537415,40.74924489795919,healthcare
25420,23060,2,"Harrisburg-Carlisle, PA",-76.91733333333333,40.25328282828283,"Fort Wayne, IN",-85.13191891891891,41.07735135135135,healthcare
31140,19380,3,"Louisville/Jefferson County, KY-IN",-85.73740833333333,38.25403333333333,"Dayton, OH",-84.1462,39.767466666666664,healthcare
41620,23060,4,"Salt Lake City, UT",-111.89808843537415,40.74924489795919,"Fort Wayne, IN",-85.13191891891891,41.07735135135135,healthcare
42540,23060,1,"Scranton--Wilkes-Barre--Hazleton, PA",-75.80511764705882,41.30421568627451,"Fort Wayne, IN",-85.13191891891891,41.07735135135135,healthcare
10740,41740,9,"Albuquerque, NM",-106.62495789473684,35.09246315789474,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089,immigration
11700,39300,6,"Asheville, NC",-82.56243421052632,35.53222368421053,"Providence-Warwick, RI-MA",-71.36549152542372,41.77379661016949,immigration
12420,41740,15,"Austin-Round Rock, TX",-97.74724347826087,30.261165217391305,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089,immigration
12420,21340,14,"Austin-Round Rock, TX",-97.74724347826087,30.261165217391305,"El Paso, TX",-106.4204375,31.729275,immigration
12700,40380,2,"Barnstable Town, MA",-70.27407142857143,41.738142857142854,"Rochester, NY",-77.54141791044776,43.10271641791045,immigration
15540,41740,8,"Burlington-South Burlington, VT",-73.196,44.48183561643835,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089,immigration
21340,41740,16,"El Paso, TX",-106.4204375,31.729275,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089,immigration
21340,12420,14,"El Paso, TX",-106.4204375,31.729275,"Austin-Round Rock, TX",-97.74724347826087,30.261165217391305,immigration
21340,38900,15,"El Paso, TX",-106.4204375,31.729275,"Portland-Vancouver-Hillsboro, OR-WA",-122.70125886524823,45.5188475177305,immigration
24340,41740,10,"Grand Rapids-Wyoming, MI",-85.75851470588236,42.93430882352941,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089,immigration
25540,41740,8,"Hartford-West Hartford-East Hartford, CT",-72.65706722689076,41.73755462184874,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089,immigration
29740,21340,9,"Las Cruces, NM",-106.75246511627907,32.28618604651163,"El Paso, TX",-106.4204375,31.729275,immigration
32580,38900,6,"McAllen-Edinburg-Mission, TX",-98.24469565217392,26.20491304347826,"Portland-Vancouver-Hillsboro, OR-WA",-122.70125886524823,45.5188475177305,immigration
33340,21340,9,"Milwaukee-Waukesha-West Allis, WI",-87.93748148148148,43.03843209876543,"El Paso, TX",-106.4204375,31.729275,immigration
37100,38900,8,"Oxnard-Thousand Oaks-Ventura, CA",-119.11948837209303,34.24288372093023,"Portland-Vancouver-Hillsboro, OR-WA",-122.70125886524823,45.5188475177305,immigration
38900,21340,15,"Portland-Vancouver-Hillsboro, OR-WA",-122.70125886524823,45.5188475177305,"El Paso, TX",-106.4204375,31.729275,immigration
39300,41940,10,"Providence-Warwick, RI-MA",-71.36549152542372,41.77379661016949,"San Jose-Sunnyvale-Santa Clara, CA",-121.98383974358974,37.352634615384616,immigration
39580,41740,11,"Raleigh, NC",-78.65281052631579,35.7816,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089,immigration
40380,38900,8,"Rochester, NY",-77.54141791044776,43.10271641791045,"Portland-Vancouver-Hillsboro, OR-WA",-122.70125886524823,45.5188475177305,immigration
41740,21340,16,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089,"El Paso, TX",-106.4204375,31.729275,immigration
41740,12420,15,"San Diego-Carlsbad, CA",-117.14565870307167,32.79875767918089,"Austin-Round Rock, TX",-97.74724347826087,30.261165217391305,immigration
