date,week,location,latitude,longitude,location_type,location_id,location_name,collective_bargaining,education,environment,executive,guns,healthcare,immigration,police,race_confed,supreme_court,women,other
1/21/17,1/16/17,"Spokane, WA",47.659,-117.426,CBSA,44060,"Spokane-Spokane Valley, WA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Augusta, ME",44.311,-69.779,CBSA,12300,"Augusta-Waterville, ME",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Birmingham, AL",33.521,-86.802,CBSA,13820,"Birmingham-Hoover, AL",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Kansas City, MO",39.1,-94.579,CBSA,28140,"Kansas City, MO-KS",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Lexington, KY",38.041,-84.504,CBSA,30460,"Lexington-Fayette, KY",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Colorado Springs, CO",38.834,-104.821,CBSA,17820,"Colorado Springs, CO",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Little Rock, AR",34.746,-92.29,CBSA,30780,"Little Rock-North Little Rock-Conway, AR",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Trenton, NJ",40.217,-74.743,CBSA,45940,"Trenton, NJ",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Indianapolis, IN",39.768,-86.158,CBSA,26900,"Indianapolis-Carmel-Anderson, IN",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Dallas, TX",32.777,-96.797,CBSA,19100,"Dallas-Fort Worth-Arlington, TX",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Eureka, CA",40.802,-124.164,CBSA,21700,"Eureka-Arcata-Fortuna, CA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Park City, UT",40.646,-111.498,CBSA,44920,"Summit Park, UT",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Santa Barbara, CA",34.421,-119.698,CBSA,42200,"Santa Maria-Santa Barbara, CA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"San Marcos, CA",33.143,-117.166,CBSA,41740,"San Diego-Carlsbad, CA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Walnut Creek, CA",37.91,-122.065,CBSA,41860,"San Francisco-Oakland-Hayward, CA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Asbury Park, NJ",40.22,-74.012,CBSA,35620,"New York-Newark-Jersey City, NY-NJ-PA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Providence, RI",41.824,-71.413,CBSA,39300,"Providence-Warwick, RI-MA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"West Palm Beach, FL",26.715,-80.053,CBSA,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Memphis, TN",35.15,-90.049,CBSA,32820,"Memphis, TN-MS-AR",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Poughkeepsie, NY",41.7,-73.921,CBSA,35620,"New York-Newark-Jersey City, NY-NJ-PA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Bellingham, WA",48.752,-122.479,CBSA,13380,"Bellingham, WA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Fort Worth, TX",32.755,-97.331,CBSA,19100,"Dallas-Fort Worth-Arlington, TX",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Champaign, IL",40.116,-88.243,CBSA,16580,"Champaign-Urbana, IL",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Honolulu (Oahu), HI",21.307,-157.858,CBSA,46520,"Urban Honolulu, HI",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Orlando, FL",28.538,-81.379,CBSA,36740,"Orlando-Kissimmee-Sanford, FL",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Baltimore, MD",39.29,-76.612,CBSA,12580,"Baltimore-Columbia-Towson, MD",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Boise, ID",43.619,-116.215,CBSA,14260,"Boise City, ID",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Louisville, KY",38.253,-85.758,CBSA,31140,"Louisville/Jefferson County, KY-IN",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Santa Rosa, CA",38.44,-122.714,CBSA,42220,"Santa Rosa, CA",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Stamford, CT",41.053,-73.539,CBSA,14860,"Bridgeport-Stamford-Norwalk, CT",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Concord, NH",43.208,-71.538,CBSA,18180,"Concord, NH",0,0,0,0,0,0,0,0,0,0,1,0
1/21/17,1/16/17,"Grand Junction, CO",39.064,-108.551,CBSA,24300,"Grand Junction, CO",0,0,0,0,0,0,0,0,0,0,1,0
