topic,count,perc_of_state_protest,state,percentile,high_low
environment,74,0.1008,MA,0.84,middle
environment,49,0.081,OR,0.7,middle
environment,34,0.0376,TX,0.2,middle
environment,21,0.0719,IA,0.62,middle
environment,26,0.0439,NC,0.3,middle
environment,8,0.0237,AZ,0.08,low
environment,30,0.0392,MI,0.24,middle
environment,7,0.0455,NE,0.32,middle
environment,23,0.0962,NM,0.78,middle
environment,10,0.0613,LA,0.54,middle
environment,18,0.0909,MT,0.74,middle
environment,30,0.101,ME,0.86,middle
environment,9,0.0506,NV,0.42,middle
environment,7,0.0398,OK,0.26,middle
environment,1,0.0067,AL,0.02,low
environment,11,0.0311,KY,0.16,middle
environment,2,0.025,AR,0.1,middle
environment,44,0.079,NJ,0.68,middle
environment,5,0.0495,RI,0.36,middle
environment,6,0.0496,HI,0.38,middle
environment,12,0.0952,ID,0.76,middle
environment,16,0.1006,NH,0.82,middle
environment,2,0.0132,KS,0.04,low
environment,9,0.1552,SD,0.98,high
environment,20,0.1026,AK,0.88,middle
environment,22,0.1146,WV,0.9,middle
environment,5,0.021,SC,0.06,low
environment,4,0.0615,ND,0.56,middle
environment,4,0.0519,WY,0.44,middle
environment,4,0.0506,DE,0.42,middle
police,16,0.0653,MD,0.8163265306122449,middle
police,16,0.046,TN,0.5918367346938775,middle
police,23,0.059,IN,0.6938775510204082,middle
police,36,0.0632,OH,0.7959183673469388,middle
police,21,0.053,CT,0.673469387755102,middle
police,8,0.0213,DC,0.30612244897959184,middle
police,29,0.0392,WA,0.5306122448979592,middle
police,51,0.0482,FL,0.6122448979591837,middle
police,14,0.0631,UT,0.7755102040816326,middle
police,148,0.0592,CA,0.7142857142857143,middle
police,4,0.0195,VT,0.20408163265306123,middle
police,47,0.0979,MN,0.9591836734693877,high
police,10,0.0202,VA,0.2653061224489796,middle
police,27,0.0696,WI,0.8367346938775511,middle
police,49,0.126,MO,1,high
police,19,0.0378,CO,0.4897959183673469,middle
police,30,0.0898,GA,0.9387755102040817,high
police,78,0.0809,PA,0.9183673469387755,high
police,53,0.0353,NY,0.46938775510204084,middle
police,36,0.0598,IL,0.7346938775510204,middle
police,19,0.0259,MA,0.3673469387755102,middle
police,19,0.0314,OR,0.3877551020408163,middle
police,45,0.0497,TX,0.6530612244897959,middle
police,5,0.0171,IA,0.16326530612244897,middle
police,29,0.049,NC,0.6326530612244898,middle
police,25,0.0742,AZ,0.8775510204081632,middle
police,26,0.0339,MI,0.40816326530612246,middle
police,1,0.0065,NE,0.02040816326530612,low
police,5,0.0209,NM,0.2857142857142857,middle
police,16,0.0982,LA,0.9795918367346939,high
police,4,0.0202,MT,0.2653061224489796,middle
police,2,0.0067,ME,0.061224489795918366,low
police,8,0.0449,NV,0.5714285714285714,middle
police,14,0.0795,OK,0.8979591836734694,middle
police,11,0.0738,AL,0.8571428571428571,middle
police,9,0.0254,KY,0.3469387755102041,middle
police,5,0.0625,AR,0.7551020408163265,middle
police,23,0.0413,NJ,0.5510204081632653,middle
police,2,0.0198,RI,0.22448979591836735,middle
police,2,0.0165,HI,0.14285714285714285,middle
police,3,0.0189,NH,0.1836734693877551,middle
police,1,0.0066,KS,0.04081632653061224,low
police,2,0.0345,SD,0.4489795918367347,middle
police,2,0.0103,AK,0.08163265306122448,low
police,3,0.0345,MS,0.4489795918367347,middle
police,2,0.0104,WV,0.10204081632653061,middle
police,6,0.0252,SC,0.32653061224489793,middle
police,1,0.0154,ND,0.12244897959183673,middle
police,3,0.038,DE,0.5102040816326531,middle
executive,15,0.0612,MD,0.1568627450980392,middle
executive,28,0.0805,TN,0.5490196078431373,middle
executive,25,0.0641,IN,0.21568627450980393,middle
executive,48,0.0842,OH,0.6274509803921569,middle
executive,29,0.0732,CT,0.37254901960784315,middle
executive,85,0.2261,DC,0.9803921568627451,high
executive,49,0.0663,WA,0.2549019607843137,middle
executive,108,0.1021,FL,0.8431372549019608,middle
executive,20,0.0901,UT,0.6862745098039216,middle
executive,185,0.074,CA,0.4117647058823529,middle
executive,16,0.078,VT,0.49019607843137253,middle
executive,32,0.0667,MN,0.27450980392156865,middle
executive,40,0.0808,VA,0.5882352941176471,middle
executive,25,0.0644,WI,0.23529411764705882,middle
executive,31,0.0797,MO,0.5294117647058824,middle
executive,50,0.0994,CO,0.8235294117647058,middle
executive,23,0.0689,GA,0.3137254901960784,middle
executive,80,0.083,PA,0.6078431372549019,middle
executive,139,0.0925,NY,0.7450980392156863,middle
executive,54,0.0897,IL,0.6666666666666666,middle
executive,47,0.064,MA,0.19607843137254902,middle
executive,48,0.0793,OR,0.5098039215686274,middle
executive,62,0.0685,TX,0.29411764705882354,middle
executive,26,0.089,IA,0.6470588235294118,middle
executive,44,0.0743,NC,0.43137254901960786,middle
executive,31,0.092,AZ,0.7254901960784313,middle
executive,59,0.077,MI,0.47058823529411764,middle
executive,16,0.1039,NE,0.8627450980392157,middle
executive,18,0.0753,NM,0.45098039215686275,middle
executive,10,0.0613,LA,0.17647058823529413,middle
executive,19,0.096,MT,0.7647058823529411,middle
executive,34,0.1145,ME,0.8823529411764706,middle
executive,27,0.1517,NV,0.9607843137254902,high
executive,10,0.0568,OK,0.11764705882352941,middle
executive,7,0.047,AL,0.0392156862745098,low
executive,26,0.0734,KY,0.39215686274509803,middle
executive,4,0.05,AR,0.0784313725490196,low
executive,45,0.0808,NJ,0.5882352941176471,middle
executive,5,0.0495,RI,0.058823529411764705,low
executive,7,0.0579,HI,0.13725490196078433,middle
executive,9,0.0714,ID,0.35294117647058826,middle
executive,19,0.1195,NH,0.9215686274509803,high
executive,4,0.0265,KS,0.0196078431372549,low
executive,4,0.069,SD,0.3333333333333333,middle
executive,45,0.2308,AK,1,high
executive,8,0.092,MS,0.7254901960784313,middle
executive,19,0.099,WV,0.803921568627451,middle
executive,23,0.0966,SC,0.7843137254901961,middle
executive,9,0.1385,ND,0.9411764705882353,high
executive,9,0.1169,WY,0.9019607843137255,high
